iter	Passed	Remaining
0	168	168411
1	187	93792
2	207	68962
3	222	55281
4	231	46167
5	239	39739
6	246	34980
7	252	31321
8	258	28475
9	264	26185
10	270	24301
11	276	22743
12	282	21432
13	288	20303
14	294	19320
15	299	18449
16	305	17677
17	311	17002
18	317	16401
19	323	15866
20	329	15372
21	335	14920
22	341	14507
23	347	14128
24	353	13786
25	359	13451
26	364	13148
27	370	12868
28	376	12610
29	383	12384
30	388	12158
31	394	11942
32	400	11730
33	406	11538
34	412	11364
35	418	11202
36	424	11038
37	430	10886
38	436	10748
39	442	10613
40	448	10482
41	454	10356
42	459	10234
43	466	10140
44	472	10035
45	479	9943
46	485	9836
47	490	9737
48	497	9648
49	502	9555
50	508	9466
51	514	9383
52	520	9298
53	526	9221
54	532	9147
55	538	9073
56	544	9000
57	549	8927
58	555	8862
59	561	8796
60	567	8734
61	573	8673
62	579	8612
63	585	8555
64	590	8500
65	597	8449
66	602	8395
67	608	8340
68	615	8298
69	621	8255
70	627	8216
71	633	8170
72	639	8122
73	645	8075
74	650	8026
75	656	7978
76	661	7933
77	667	7891
78	673	7851
79	679	7813
80	685	7772
81	691	7740
82	697	7704
83	703	7667
84	709	7633
85	715	7608
86	721	7576
87	727	7544
88	733	7512
89	739	7477
90	745	7446
91	751	7414
92	757	7385
93	763	7357
94	769	7327
95	775	7300
96	781	7275
97	788	7258
98	794	7232
99	800	7205
100	806	7175
101	811	7148
102	817	7121
103	824	7100
104	830	7077
105	836	7051
106	841	7025
107	847	7003
108	853	6979
109	859	6957
110	865	6933
111	871	6911
112	877	6889
113	883	6867
114	889	6846
115	895	6823
116	901	6800
117	906	6778
118	912	6756
119	918	6734
120	924	6716
121	930	6698
122	936	6678
123	942	6661
124	948	6641
125	954	6623
126	961	6606
127	967	6589
128	972	6568
129	978	6551
130	984	6531
131	990	6510
132	995	6490
133	1001	6471
134	1006	6450
135	1012	6432
136	1017	6411
137	1023	6392
138	1028	6372
139	1034	6354
140	1040	6336
141	1045	6318
142	1051	6299
143	1057	6286
144	1063	6270
145	1069	6253
146	1074	6236
147	1080	6222
148	1086	6204
149	1092	6190
150	1098	6174
151	1103	6157
152	1109	6140
153	1114	6123
154	1120	6106
155	1125	6088
156	1130	6071
157	1136	6054
158	1141	6037
159	1147	6023
160	1153	6009
161	1158	5994
162	1164	5980
163	1170	5968
164	1176	5956
165	1182	5943
166	1188	5927
167	1194	5914
168	1200	5901
169	1206	5888
170	1212	5878
171	1219	5870
172	1225	5860
173	1232	5848
174	1239	5841
175	1246	5836
176	1253	5827
177	1259	5817
178	1266	5808
179	1272	5798
180	1279	5789
181	1285	5776
182	1292	5769
183	1299	5761
184	1305	5749
185	1311	5737
186	1317	5728
187	1324	5719
188	1330	5710
189	1336	5699
190	1343	5688
191	1349	5677
192	1355	5666
193	1361	5656
194	1367	5646
195	1373	5635
196	1380	5625
197	1386	5614
198	1391	5602
199	1398	5593
200	1404	5583
201	1410	5572
202	1416	5560
203	1422	5549
204	1427	5537
205	1433	5524
206	1438	5511
207	1444	5500
208	1450	5488
209	1455	5475
210	1461	5463
211	1466	5452
